municipio,estado,bioma,latitude,longitude,data,temperatura_media,umidade_media,precipitacao,vento_medio
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-07,25.5,87,1.6,3.7
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-08,25.6,87,3.6,4.8
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-09,26.2,85,0.9,4.8
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-10,25.6,86,10.1,8.7
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-11,24.9,81,0.2,11.1
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-12,25.2,83,9.1,6.1
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-13,24.2,96,13.2,2.7
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-14,25.5,91,2.0,2.6
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-15,25.3,92,12.7,4.5
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-16,25.8,89,1.4,3.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-17,25.7,92,7.3,4.4
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-18,25.9,90,9.4,6.1
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-19,25.0,91,10.9,7.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-20,25.4,82,0.4,10.5
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-21,25.5,80,0.3,10.1
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-22,25.1,81,0.5,10.8
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-23,24.7,83,0.9,9.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-24,25.3,84,0.7,6.4
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-25,26.0,87,2.7,4.8
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-26,26.7,79,0.5,7.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-27,26.8,73,0.0,7.8
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-28,26.6,74,0.0,5.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-29,26.8,74,0.0,6.1
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-30,27.5,73,0.7,7.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05-31,27.1,76,0.1,6.5
Apui,AM,Amazonia,-7.1941,-59.8913,2026-06-01,26.1,83,0.4,3.5
Apui,AM,Amazonia,-7.1941,-59.8913,2026-06-02,26.9,78,0.1,5.3
Apui,AM,Amazonia,-7.1941,-59.8913,2026-06-03,26.6,77,0.2,7.8
Apui,AM,Amazonia,-7.1941,-59.8913,2026-06-04,25.9,80,8.8,6.9
Apui,AM,Amazonia,-7.1941,-59.8913,2026-06-05,26.4,83,18.4,5.1
Apui,AM,Amazonia,-7.1941,-59.8913,2026-06-06,25.5,90,5.7,3.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-07,25.7,89,2.1,4.9
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-08,26.8,82,3.5,6.3
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-09,26.6,86,0.8,3.3
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-10,25.8,87,9.1,9.0
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-11,22.6,79,0.0,10.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-12,23.2,80,0.0,5.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-13,24.7,86,6.1,2.7
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-14,25.0,91,4.8,3.1
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-15,25.4,92,7.3,4.6
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-16,25.7,86,0.0,5.9
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-17,25.7,87,6.9,5.8
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-18,25.9,89,8.1,4.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-19,23.2,91,3.1,10.0
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-20,23.3,81,0.5,9.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-21,23.8,85,0.2,10.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-22,23.2,84,0.0,9.0
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-23,23.8,80,0.0,9.0
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-24,24.6,82,0.2,6.5
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-25,26.2,82,0.6,5.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-26,25.5,90,5.5,4.8
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-27,26.4,80,0.5,6.9
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-28,27.5,76,0.2,6.1
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-29,27.6,75,0.1,7.1
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-30,27.2,74,0.1,8.2
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05-31,26.9,74,0.0,7.1
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-06-01,26.5,82,0.7,5.0
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-06-02,27.1,78,0.3,6.0
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-06-03,26.8,74,0.0,8.1
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-06-04,26.4,74,0.5,8.4
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-06-05,25.9,87,11.1,5.2
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-06-06,24.1,95,27.0,3.5
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2026-05-07,26.8,75,0.0,7.2
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2026-05-08,26.2,80,2.8,5.5
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2026-05-09,26.8,76,0.0,7.7
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2026-05-10,27.2,73,0.2,8.0
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2026-05-11,25.2,88,3.3,6.6
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2026-05-12,24.3,94,15.0,4.9
