latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,municipio,estado,bioma,latitude_municipio,longitude_municipio,fonte_focos
-7.50748,-55.00184,321.26,0.41,0.37,2026-06-03,501,N,VIIRS,n,2.0NRT,292.63,1.1,N,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50687,-55.00559,340.21,0.41,0.37,2026-06-03,501,N,VIIRS,n,2.0NRT,293.77,2.92,N,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50404,-55.00129,302.3,0.41,0.37,2026-06-03,501,N,VIIRS,n,2.0NRT,291.71,1.1,N,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50343,-55.00505,305.33,0.41,0.37,2026-06-03,501,N,VIIRS,n,2.0NRT,291.99,2.92,N,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.51014,-55.00665,367.0,0.39,0.44,2026-06-03,1737,N,VIIRS,h,2.0NRT,298.31,9.75,D,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50953,-55.00759,367.0,0.39,0.44,2026-06-03,1737,N,VIIRS,h,2.0NRT,295.52,13.22,D,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50953,-55.00306,367.0,0.39,0.44,2026-06-03,1737,N,VIIRS,h,2.0NRT,297.45,9.75,D,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50895,-55.00399,367.0,0.39,0.44,2026-06-03,1737,N,VIIRS,h,2.0NRT,296.16,13.22,D,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.5061,-55.00721,329.05,0.39,0.44,2026-06-03,1737,N,VIIRS,n,2.0NRT,293.93,9.75,D,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
-7.50825,-55.00314,329.11,0.38,0.36,2026-06-04,1720,N,VIIRS,l,2.0NRT,299.89,3.21,D,Novo Progresso,PA,Amazonia,-7.1256,-55.3786,NASA_FIRMS
