municipio,estado,bioma,latitude,longitude,ano_mes,ndvi_medio
Apui,AM,Amazonia,-7.1941,-59.8913,2025-06,0.6984
Apui,AM,Amazonia,-7.1941,-59.8913,2025-07,0.597
Apui,AM,Amazonia,-7.1941,-59.8913,2025-08,0.5144
Apui,AM,Amazonia,-7.1941,-59.8913,2025-09,0.1864
Apui,AM,Amazonia,-7.1941,-59.8913,2025-10,0.6658
Apui,AM,Amazonia,-7.1941,-59.8913,2025-11,0.6206
Apui,AM,Amazonia,-7.1941,-59.8913,2025-12,0.6443
Apui,AM,Amazonia,-7.1941,-59.8913,2026-01,0.5876
Apui,AM,Amazonia,-7.1941,-59.8913,2026-02,0.3496
Apui,AM,Amazonia,-7.1941,-59.8913,2026-03,0.3953
Apui,AM,Amazonia,-7.1941,-59.8913,2026-04,0.6902
Apui,AM,Amazonia,-7.1941,-59.8913,2026-05,0.7404
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-06,0.6076
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-07,0.6322
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-08,0.6233
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-09,0.5367
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-10,0.6119
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-11,0.4799
Labrea,AM,Amazonia,-7.2586,-64.7981,2025-12,0.3347
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-01,0.2576
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-02,0.1262
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-03,0.4078
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-04,0.3089
Labrea,AM,Amazonia,-7.2586,-64.7981,2026-05,0.6155
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2025-06,0.6414
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2025-07,0.5675
Novo Progresso,PA,Amazonia,-7.1256,-55.3786,2025-08,0.5057
